zeta,omega_ratio,solution_1,solution_2,solution_3
0.38,1.14,1.020671467,-0.016520499,-0.004149069
0.38,1.15,1.027963304,-0.02670392,-0.001257515
0.38,1.16,1.028977119,-0.027382629,-0.001592654
0.38,1.17,1.032401391,-0.031722407,-0.000677179
0.38,1.18,1.037981743,-0.039381843,0.001401877
0.39,1,1.000000824,8.24E-07,8.24E-07
0.39,1.01,1.001093121,-0.000439585,-0.000651111
0.39,1.02,1.000929071,0.001151705,-0.002078404
0.39,1.03,0.992029017,0.015591081,-0.00761777
0.39,1.04,0.992253767,0.016444188,-0.008695674
0.39,1.05,0.992346554,0.017239299,-0.009583609
0.39,1.06,0.99230911,0.018305122,-0.010612027
0.39,1.07,0.993624337,0.017409873,-0.011032048
0.39,1.08,1.002222438,0.005561795,-0.007782113
0.39,1.09,1.002306245,0.006472412,-0.008776577
0.39,1.1,1.007872889,-0.000876633,-0.006994217
0.39,1.11,1.008449068,-0.000923629,-0.007523432
0.39,1.12,1.021673292,-0.019729423,-0.001941902
0.39,1.13,1.022156995,-0.019613152,-0.002541909
0.39,1.14,1.022643245,-0.019496674,-0.003144671
0.39,1.15,1.02313178,-0.019379724,-0.00375019
0.39,1.16,1.03893642,-0.042270363,0.003335777
0.39,1.17,1.039509035,-0.042406103,0.002898873
0.39,1.18,1.040082215,-0.042546649,0.002466211
0.4,1,1.000000824,8.24E-07,8.24E-07
0.4,1.01,1.001065253,-0.000430409,-0.000632418
0.4,1.02,1.002085351,-0.000627081,-0.001455896
0.4,1.03,1.002733942,-0.000467108,-0.002264505
0.4,1.04,0.999488932,0.005615501,-0.005102153
0.4,1.05,1.000091883,0.005768596,-0.00585824
0.4,1.06,1.000679954,0.005918211,-0.006595967
0.4,1.07,0.999839169,0.008145591,-0.0079826
0.4,1.08,0.999927326,0.00895377,-0.008878974
0.4,1.09,1.000587876,0.00912209,-0.00970789
0.4,1.1,1.010360973,-0.004617287,-0.005741646
0.4,1.11,1.014866593,-0.010552972,-0.004311613
0.4,1.12,1.015433106,-0.0104138,-0.005017337
0.4,1.13,1.015909812,-0.010342188,-0.005565686
0.4,1.14,1.023073325,-0.020201451,-0.002869971
0.4,1.15,1.02424728,-0.021153416,-0.003091994
0.4,1.16,1.037604496,-0.040262646,0.002659984
0.4,1.17,1.038190759,-0.04040638,0.002217426
0.4,1.18,1.038777961,-0.04055555,0.001779365
0.4,1.19,1.039106621,-0.040316679,0.001211804
0.41,1,1.000000824,8.24E-07,8.24E-07
0.41,1.01,1.001092985,-0.000340536,-0.000750028
0.41,1.02,1.001164954,0.000702647,-0.001865225
0.41,1.03,1.001710505,0.001038606,-0.002746781
0.41,1.04,1.002112635,0.001578116,-0.003688467
0.41,1.05,1.002407756,0.002256197,-0.004661713
0.41,1.06,1.001640168,0.004390712,-0.006028678
0.41,1.07,1.001773116,0.005174288,-0.006945242
0.41,1.08,1.00203992,0.005937417,-0.00797522
0.41,1.09,1.002573334,0.006073013,-0.008644267
0.41,1.1,1.00309459,0.00620574,-0.009298286
0.41,1.11,1.013674766,-0.008669428,-0.005003335
0.41,1.12,1.011570506,-0.004587848,-0.00698069
0.41,1.13,1.01775564,-0.01308276,-0.004670943
0.41,1.14,1.01828897,-0.012952334,-0.005334737
0.41,1.15,1.030664597,-0.030840668,0.000177944
0.41,1.16,1.031429953,-0.031131616,-0.000296498
0.41,1.17,1.032194699,-0.031427478,-0.000765416
0.41,1.18,1.032911076,-0.031778869,-0.00113043
0.41,1.19,1.036924412,-0.037068378,0.000145714
0.42,1,1.000000824,8.24E-07,8.24E-07
0.42,1.01,1.001069313,-0.000338527,-0.000728363
0.42,1.02,1.001354778,0.000419662,-0.001772065
0.42,1.03,0.98435105,0.027174301,-0.011523025
0.42,1.04,0.984802391,0.027628834,-0.012428944
0.42,1.05,0.985246867,0.028057476,-0.013302104
0.42,1.06,0.987212847,0.026118479,-0.013329128
0.42,1.07,1.000559838,0.00697095,-0.007528624
0.42,1.08,1.000850831,0.007652116,-0.008500827
0.42,1.09,1.001136713,0.008296404,-0.00943104
0.42,1.1,1.002261762,0.007454056,-0.009713775
0.42,1.11,1.012055479,-0.006354885,-0.005698586
0.42,1.12,1.012418386,-0.005910172,-0.006506245
0.42,1.13,1.014372683,-0.007992718,-0.006378029
0.42,1.14,1.02077331,-0.016778507,-0.0039929
0.42,1.15,1.021260094,-0.01666264,-0.004595584
0.42,1.16,1.028480424,-0.026710337,-0.001768248
0.42,1.17,1.038639516,-0.041103606,0.002465896
0.42,1.18,1.03922083,-0.041134456,0.001915398
